                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0444,                 2.5219,                 1.2254,                0.83152,                0.82214,                0.87806,                0.68496,                0.77835,                 1.1154,                 1.0295,               0.070087,              0.0033236,              0.0033236
                      1,                0.88548,                0.96969,                 1.1122,                0.85961,                0.84204,                0.87141,                 0.6958,                0.73619,                0.82764,                 1.0037,               0.039648,              0.0062176,              0.0062176
